page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  34   102 image     534    47  rgb     3   8  image  no      4628  0   116   116 2962B 3.9%
  35   103 image     536    36  rgb     3   8  image  no      4629  0   116   116 1870B 3.2%
  35   104 image     556    26  rgb     3   8  image  no      4630  0   116   116 1945B 4.5%
  35   105 image     581    48  rgb     3   8  image  no      4631  0   116   116 2882B 3.4%
  35   106 image      37    19  rgb     3   8  image  no      4632  0   116   116  215B  10%
  35   107 image      39    18  rgb     3   8  image  no      4633  0   116   116  208B 9.9%
  35   108 image      48    18  rgb     3   8  image  no      4634  0   116   116  236B 9.1%
  35   109 image      47    19  rgb     3   8  image  no      4635  0   116   116  228B 8.5%
  36   110 image     286    67  rgb     3   8  image  no      4636  0   116   116 1011B 1.8%
  36   111 image     270    72  rgb     3   8  jpeg   no      4637  0   116   116 6252B  11%
  36   112 image     346    62  rgb     3   8  image  no      4638  0   116   116 1459B 2.3%
  36   113 image     293    66  rgb     3   8  image  no      4639  0   116   116 1270B 2.2%
  37   114 image     414    51  rgb     3   8  image  no      4640  0   116   116 1594B 2.5%
  37   115 image     343    51  rgb     3   8  image  no      4641  0   116   116 1417B 2.7%
  37   116 image      75    26  rgb     3   8  image  no      4642  0   116   116  301B 5.1%
  37   117 image      75    26  rgb     3   8  image  no      4642  0   116   116  301B 5.1%
  37   118 image      51    23  rgb     3   8  image  no      4643  0   116   116  211B 6.0%
  37   119 image      51    23  rgb     3   8  image  no      4643  0   116   116  211B 6.0%
  37   120 image      23    26  rgb     3   8  image  no      4644  0   116   116   90B 5.0%
  37   121 image      23    26  rgb     3   8  image  no      4644  0   116   116   90B 5.0%
  37   122 image     188    32  rgb     3   8  image  no      4645  0   116   116  704B 3.9%
  37   123 image     205    30  rgb     3   8  image  no      4646  0   116   116  719B 3.9%
  37   124 image      24    20  rgb     3   8  image  no      4647  0   116   116  121B 8.4%
  37   125 image      24    20  rgb     3   8  image  no      4647  0   116   116  121B 8.4%
  37   126 image      37    20  rgb     3   8  image  no      4648  0   116   116  181B 8.2%
  38   127 image      37    20  rgb     3   8  image  no      4649  0   116   116  181B 8.2%
  38   128 image      79    25  rgb     3   8  image  no      4650  0   116   116  331B 5.6%
  38   129 image      79    25  rgb     3   8  image  no      4650  0   116   116  331B 5.6%
  38   130 image      76    26  rgb     3   8  image  no      4651  0   116   116  332B 5.6%
  38   131 image      76    26  rgb     3   8  image  no      4651  0   116   116  332B 5.6%
  38   132 image     179    75  rgb     3   8  image  no      4652  0   116   116  966B 2.4%
  38   133 image     179    75  rgb     3   8  image  no      4652  0   116   116  966B 2.4%
  38   134 image      31    37  rgb     3   8  image  no      4653  0   116   116  256B 7.4%
  38   135 image      31    37  rgb     3   8  image  no      4653  0   116   116  256B 7.4%
  38   136 image      41    40  rgb     3   8  image  no      4654  0   116   116  295B 6.0%
  38   137 image      41    40  rgb     3   8  image  no      4654  0   116   116  295B 6.0%
  38   138 image      45    39  rgb     3   8  image  no      4655  0   116   116  275B 5.2%
  38   139 image      45    39  rgb     3   8  image  no      4655  0   116   116  275B 5.2%
  38   140 image      32    39  rgb     3   8  image  no      4656  0   116   116  261B 7.0%
  38   141 image      32    39  rgb     3   8  image  no      4656  0   116   116  261B 7.0%
  39   142 image     499    38  rgb     3   8  image  no      4657  0   116   116 1709B 3.0%
  39   143 image     508    38  rgb     3   8  image  no      4658  0   116   116 1738B 3.0%
  39   144 image      16    40  rgb     3   8  image  no      4659  0   116   116  118B 6.1%
  39   145 image      16    40  rgb     3   8  image  no      4659  0   116   116  118B 6.1%
  39   146 image      26    36  rgb     3   8  image  no      4660  0   116   116  129B 4.6%
  39   147 image      26    36  rgb     3   8  image  no      4660  0   116   116  129B 4.6%
  39   148 image      32    31  rgb     3   8  image  no      4661  0   116   116  163B 5.5%
  39   149 image      32    31  rgb     3   8  image  no      4661  0   116   116  163B 5.5%
  39   150 image      28    37  rgb     3   8  image  no      4662  0   116   116  179B 5.8%
  40   151 image      28    37  rgb     3   8  image  no      4663  0   116   116  179B 5.8%
  40   152 image     379    40  rgb     3   8  image  no      4664  0   116   116 1495B 3.3%
  40   153 image     398    40  rgb     3   8  image  no      4665  0   116   116 1639B 3.4%
  41   154 image     567    45  rgb     3   8  image  no      4666  0   116   116 2053B 2.7%
  41   155 image     643    54  rgb     3   8  image  no      4667  0   116   116 11.6K  11%
  41   156 image      34    34  rgb     3   8  image  no      4668  0   116   116  730B  21%
  41   157 image      34    34  rgb     3   8  image  no      4668  0   116   116  730B  21%
  41   158 image      34    35  rgb     3   8  image  no      4669  0   116   116  534B  15%
  41   159 image      34    35  rgb     3   8  image  no      4669  0   116   116  534B  15%
  41   160 image      31    37  rgb     3   8  image  no      4670  0   116   116  711B  21%
  41   161 image      31    37  rgb     3   8  image  no      4670  0   116   116  711B  21%
  41   162 image      35    36  rgb     3   8  image  no      4671  0   116   116  634B  17%
  41   163 image      35    36  rgb     3   8  image  no      4671  0   116   116  634B  17%
  41   164 image     173    24  rgb     3   8  image  no      4672  0   116   116  710B 5.7%
  41   165 image     173    24  rgb     3   8  image  no      4672  0   116   116  710B 5.7%
  42   166 image     131    46  rgb     3   8  image  no      4673  0   116   116  634B 3.5%
  42   167 image     131    46  rgb     3   8  image  no      4673  0   116   116  634B 3.5%
  42   168 image      20    23  rgb     3   8  image  no      4674  0   116   116  117B 8.5%
  42   169 image      20    23  rgb     3   8  image  no      4674  0   116   116  117B 8.5%
  42   170 image      28    21  rgb     3   8  image  no      4675  0   116   116  128B 7.3%
  42   171 image      28    21  rgb     3   8  image  no      4675  0   116   116  128B 7.3%
  42   172 image      25    21  rgb     3   8  image  no      4676  0   116   116  109B 6.9%
  42   173 image      25    21  rgb     3   8  image  no      4676  0   116   116  109B 6.9%
  42   174 image     302    37  rgb     3   8  image  no      4677  0   116   116 1134B 3.4%
  42   175 image     330    36  rgb     3   8  image  no      4678  0   116   116 1332B 3.7%
  42   176 image      49    39  rgb     3   8  image  no      4679  0   116   116  288B 5.0%
  42   177 image      49    39  rgb     3   8  image  no      4679  0   116   116  288B 5.0%
  42   178 image      61    35  rgb     3   8  image  no      4680  0   116   116  296B 4.6%
  43   179 image      61    35  rgb     3   8  image  no      4681  0   116   116  296B 4.6%
  43   180 image      46    35  rgb     3   8  image  no      4682  0   116   116  297B 6.1%
  43   181 image      46    35  rgb     3   8  image  no      4682  0   116   116  297B 6.1%
  43   182 image      53    35  rgb     3   8  image  no      4683  0   116   116  280B 5.0%
  43   183 image      53    35  rgb     3   8  image  no      4683  0   116   116  280B 5.0%
  43   184 image     486    70  rgb     3   8  image  no      4684  0   116   116 15.7K  16%
  43   185 image     423    77  rgb     3   8  image  no      4685  0   116   116 14.0K  15%
  43   186 image     341    69  rgb     3   8  image  no      4686  0   116   116 2206B 3.1%
  44   187 image     487    65  rgb     3   8  image  no      4687  0   116   116 13.9K  15%
  44   188 image      75    23  rgb     3   8  image  no      4688  0   116   116  321B 6.2%
  44   189 image      75    23  rgb     3   8  image  no      4688  0   116   116  321B 6.2%
  44   190 image      74    29  rgb     3   8  image  no      4689  0   116   116  317B 4.9%
  44   191 image      74    29  rgb     3   8  image  no      4689  0   116   116  317B 4.9%
  44   192 image      74    31  rgb     3   8  image  no      4690  0   116   116  329B 4.8%
  44   193 image      74    31  rgb     3   8  image  no      4690  0   116   116  329B 4.8%
  44   194 image     186    27  rgb     3   8  image  no      4691  0   116   116  524B 3.5%
  44   195 image     186    27  rgb     3   8  image  no      4691  0   116   116  524B 3.5%
  44   196 image     141    42  rgb     3   8  image  no      4692  0   116   116 2635B  15%
  44   197 image     141    42  rgb     3   8  image  no      4692  0   116   116 2635B  15%
  44   198 image      56    22  rgb     3   8  image  no      4693  0   116   116  230B 6.2%
  44   199 image      56    22  rgb     3   8  image  no      4693  0   116   116  230B 6.2%
  44   200 image      56    34  rgb     3   8  image  no      4694  0   116   116  272B 4.8%
  44   201 image      56    34  rgb     3   8  image  no      4694  0   116   116  272B 4.8%
  44   202 image      62    29  rgb     3   8  image  no      4695  0   116   116  373B 6.9%
  45   203 image      62    29  rgb     3   8  image  no      4696  0   116   116  373B 6.9%
  45   204 image     595    24  rgb     3   8  image  no      4697  0   116   116 1534B 3.6%
  45   205 image     565    23  rgb     3   8  image  no      4698  0   116   116 1783B 4.6%
  45   206 image     152    21  rgb     3   8  image  no      4699  0   116   116 2847B  30%
  45   207 image     152    21  rgb     3   8  image  no      4699  0   116   116 2847B  30%
  45   208 image     151    24  rgb     3   8  image  no      4700  0   116   116 2865B  26%
  45   209 image     151    24  rgb     3   8  image  no      4700  0   116   116 2865B  26%
  46   210 image      49    22  rgb     3   8  image  no      4701  0   116   116  199B 6.2%
  46   211 image      49    22  rgb     3   8  image  no      4701  0   116   116  199B 6.2%
  46   212 image     102    21  rgb     3   8  image  no      4702  0   116   116  274B 4.3%
  46   213 image     102    21  rgb     3   8  image  no      4702  0   116   116  274B 4.3%
  46   214 image      65    24  rgb     3   8  image  no      4703  0   116   116  217B 4.6%
  46   215 image      65    24  rgb     3   8  image  no      4703  0   116   116  217B 4.6%
  47   216 image      17    35  rgb     3   8  image  no      4704  0   116   116  159B 8.9%
  47   217 image      17    35  rgb     3   8  image  no      4704  0   116   116  159B 8.9%
  47   218 image      21    44  rgb     3   8  image  no      4705  0   116   116  165B 6.0%
  47   219 image      21    44  rgb     3   8  image  no      4705  0   116   116  165B 6.0%
  47   220 image      70    37  rgb     3   8  image  no      4706  0   116   116  360B 4.6%
  47   221 image      70    37  rgb     3   8  image  no      4706  0   116   116  360B 4.6%
  47   222 image      76    41  rgb     3   8  image  no      4707  0   116   116  368B 3.9%
  47   223 image      76    41  rgb     3   8  image  no      4707  0   116   116  368B 3.9%
  48   224 image     404    80  rgb     3   8  image  no      4708  0   116   116 3093B 3.2%
  48   225 image     457    91  rgb     3   8  image  no      4709  0   116   116 3718B 3.0%
  48   226 image     155    25  rgb     3   8  image  no      4710  0   116   116  379B 3.3%
  48   227 image     155    25  rgb     3   8  image  no      4710  0   116   116  379B 3.3%
  48   228 image     157    24  rgb     3   8  image  no      4711  0   116   116  359B 3.2%
  48   229 image     157    24  rgb     3   8  image  no      4711  0   116   116  359B 3.2%
  48   230 image     156    28  rgb     3   8  image  no      4712  0   116   116  398B 3.0%
  48   231 image     156    28  rgb     3   8  image  no      4712  0   116   116  398B 3.0%
  48   232 image     154    26  rgb     3   8  image  no      4713  0   116   116  413B 3.4%
  48   233 image     154    26  rgb     3   8  image  no      4713  0   116   116  413B 3.4%
  48   234 image     139    43  rgb     3   8  image  no      4714  0   116   116  481B 2.7%
  48   235 image     139    43  rgb     3   8  image  no      4714  0   116   116  481B 2.7%
  48   236 image     148    41  rgb     3   8  image  no      4715  0   116   116  539B 3.0%
  48   237 image     148    41  rgb     3   8  image  no      4715  0   116   116  539B 3.0%
  48   238 image     147    41  rgb     3   8  image  no      4716  0   116   116  573B 3.2%
  49   239 image     147    41  rgb     3   8  image  no      4717  0   116   116  573B 3.2%
  49   240 image     149    40  rgb     3   8  image  no      4718  0   116   116  573B 3.2%
  49   241 image     149    40  rgb     3   8  image  no      4718  0   116   116  573B 3.2%
  49   242 image     131    46  rgb     3   8  image  no      4719  0   116   116  540B 3.0%
  49   243 image     131    46  rgb     3   8  image  no      4719  0   116   116  540B 3.0%
  64   244 image     283    30  rgb     3   8  image  no      4720  0   116   116 1642B 6.4%
  64   245 image     193    32  rgb     3   8  image  no      4721  0   116   116 1028B 5.5%
  64   246 image     281    32  rgb     3   8  image  no      4722  0   116   116 1637B 6.1%
  64   247 image     197    31  rgb     3   8  image  no      4723  0   116   116 1036B 5.7%
  64   248 image     278    32  rgb     3   8  image  no      4724  0   116   116 1666B 6.2%
  64   249 image     194    29  rgb     3   8  image  no      4725  0   116   116  990B 5.9%
  64   250 image     268    32  rgb     3   8  image  no      4726  0   116   116 1602B 6.2%
  64   251 image     197    26  rgb     3   8  image  no      4727  0   116   116 1010B 6.6%
  72   252 image     609    35  rgb     3   8  image  no      4728  0   116   116 2419B 3.8%
  73   253 image     611    39  rgb     3   8  image  no      4729  0   116   116 2840B 4.0%
  73   254 image      40    17  rgb     3   8  image  no      4730  0   116   116  268B  13%
  73   255 image      40    17  rgb     3   8  image  no      4730  0   116   116  268B  13%
  73   256 image      41    18  rgb     3   8  image  no      4731  0   116   116  273B  12%
  73   257 image      41    18  rgb     3   8  image  no      4731  0   116   116  273B  12%
  73   258 image      40    19  rgb     3   8  image  no      4732  0   116   116  254B  11%
  73   259 image      40    19  rgb     3   8  image  no      4732  0   116   116  254B  11%
  73   260 image      39    18  rgb     3   8  image  no      4733  0   116   116  270B  13%
  73   261 image      39    18  rgb     3   8  image  no      4733  0   116   116  270B  13%
  73   262 image     271    42  rgb     3   8  image  no      4734  0   116   116 1493B 4.4%
  74   263 image     141   109  rgb     3   8  image  no      4735  0   116   116 2282B 4.9%
